rt_name,perplexity,instability_index,gravy,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rt_family,seq_length,log_likelihood,net_charge,camsol,helix_beta_ratio,yxdd_std_hydrophobicity,n_residues,sasa_per_res,apolar_ratio,mean_rsasa,pocket_mean_rsasa,nterm_avg_sasa,rama_fav,rama_out,hairpin_confidence,yxdd_seq,overall_mean_pot,fingers_mean_pot,motif12_mean_pot,lpqg_sp_3A_mean_pot,yxdd_5A_mean_pot,palm_mean_pot,thumb_mean_pot,connection_mean_pot
A.platensis-Cas1-RT,7.073275089,41.65183453,0.011870504,0.8797,0.8276,0.8228,0.8143,0.4926,0.1954,0.1309,0.07932,0.03345,2,1.0,11.5889,3.8325,7.4584,0.586,0.0216,1.565,0.409,0.545,0.0119,3.1276,0.6667,1.2889,1,1.0,1.0,1.0,1.0,0.938,0.7883,0.281,0.7081,0.6936,0.6689,0.8251,0.5711,0.938,0.8278,CRISPR-associated,278,-1.956323624,-3,0.2775,0.75862069,2.8154,278.0,53.79755396,0.537,0.2728,0.0918,117.61,94.7,0.0,0.727,YGDD,-2.0977,2.3503,13.7854,5.0225,-8.1501,-7.3936,-6.1497,
AFY36037.1-RT,4.370305538,45.81238938,-0.394247788,0.6142,0.5676,0.4957,0.4921,0.363,0.2561,0.147,0.00993,0.001999,2,1.0,26.9361,3.8203,18.1213,0.442,0.0177,1.513,0.222,0.667,-0.3942,3.2604,0.5714,0.6643,0,1.0,1.0,1.0,1.0,0.7864,0.6863,0.161,0.7666,0.7653,0.6804,0.7227,0.5479,0.7864,0.7272,Unclassified,226,-1.474832892,16,1.163689,0.845238095,2.8645,226.0,68.8300885,0.543,0.333,0.1917,129.77,90.4,1.0,,YVDD,7.5003,5.1543,10.4141,6.142,-5.1245,3.1887,16.7114,
ASLV-RT,9.39317894,44.97361888,0.063636364,0.6316,0.4708,0.4257,0.5723,0.3353,0.7082,0.8049,0.2842,0.1978,1,1.0,5.9688,3.8179,0.2268,0.657,0.021,1.288,0.435,0.739,0.0636,3.0196,0.5789,0.9211,1,1.0,1.0,1.0,1.0,0.9344,0.7796,0.309,0.9344,0.9311,0.8359,0.6563,0.7456,0.6675,0.5626,Retroviral,572,-2.239983797,-3,-0.76549,0.904977376,2.9589,572.0,50.67055944,0.566,0.2639,0.1531,146.88,90.8,0.2,0.79,YMDD,-0.8635,-2.0049,9.6151,3.6393,-18.2228,-5.0529,1.4346,2.8752
AVIRE-RT,4.599065781,42.47012987,-0.226695527,0.4672,0.5492,0.5717,0.7853,0.6013,0.8282,0.84,0.386,0.2096,1,1.0,6.1404,3.8527,0.1852,0.544,0.0289,1.329,0.667,0.542,-0.2267,3.0304,0.6,1.095,1,1.0,1.0,1.0,1.0,0.9678,0.8516,0.603,0.9647,0.9678,0.9572,0.7711,0.7082,0.6582,0.5408,Retroviral,693,-1.525853157,-1,0.532101,0.939393939,3.0534,693.0,51.3252381,0.56,0.2636,0.1117,138.6,91.7,0.3,0.765,YVDD,1.6843,4.5122,8.6056,0.6688,-15.4262,-1.1534,6.4446,1.9389
Abi-RT,14.77421188,32.23339683,-0.53968254,0.1474,0.07515,0.08933,0.03547,0.04808,0.06521,0.01785,0.01401,0.0172,0,1.0,44.4348,3.8313,27.1487,0.419,0.054,1.635,0.722,0.722,-0.5397,3.1401,0.5714,1.1286,1,0.0,0.0,0.0,0.0,0.7568,0.5279,0.135,0.7047,0.6961,0.4734,0.7541,0.4228,0.7568,0.5732,Other,315,-2.692883253,3,1.231134,0.872881356,3.4782,315.0,56.08730159,0.552,0.2778,0.2299,121.9,92.8,0.3,0.675,YLDD,2.5161,5.9343,-1.4835,14.6853,-11.3164,2.9849,3.3638,
BAEMV-RT,3.863266706,41.78098694,-0.344267054,0.541,0.6822,0.6048,0.8237,0.5548,0.833,0.8123,0.2282,0.09436,2,1.0,6.1124,3.8391,0.1996,0.511,0.0247,1.327,0.792,0.583,-0.3443,2.9962,0.6,1.095,1,1.0,1.0,1.0,1.0,0.98,0.8752,0.741,0.9756,0.98,0.9673,0.7723,0.593,0.6577,0.5771,Retroviral,689,-1.351513147,2,0.789726,0.896153846,3.0534,689.0,53.82055152,0.56,0.2747,0.1194,132.37,88.7,0.8,0.75,YVDD,1.6267,3.6109,7.7399,-0.3294,-14.0213,-4.5674,7.5255,6.2332
BLV-RT,12.16798019,62.81780822,-0.165753425,0.8775,0.7637,0.7254,0.7468,0.4875,0.8038,0.9293,0.3914,0.1363,1,1.0,6.7487,3.7806,0.4577,0.534,0.0137,1.327,0.682,0.5,-0.1658,2.9862,0.5556,1.1833,1,1.0,1.0,1.0,1.0,0.9063,0.7304,0.285,0.9031,0.9063,0.8455,0.6878,0.5691,0.6637,0.5709,Retroviral,584,-2.498807907,-2,-0.398653,0.801801802,2.7631,584.0,52.30104452,0.575,0.2684,0.1371,129.87,91.4,0.2,0.78,YMDD,-0.7113,3.0463,11.5231,-0.5078,-17.2914,-3.5535,5.7338,-1.2346
Bel-RT,5.843635559,39.95239224,-0.095474138,0.575,0.8018,0.8066,0.8197,0.7892,0.8257,0.951,0.8933,0.8736,3,1.0,5.6213,3.8248,0.2145,0.5,0.0259,1.321,0.435,0.565,-0.0955,3.1091,0.6842,1.1053,1,0.0,1.0,1.0,1.0,0.8537,0.5443,0.098,0.8537,0.8393,0.8375,0.6579,0.4585,0.5673,0.5375,LTR_Retrotransposon,464,-1.765353084,4,-0.431771,0.767567568,3.1831,464.0,51.85616379,0.579,0.2601,0.1143,119.46,93.0,0.2,0.775,YVDD,1.3768,1.4746,8.6554,-12.4953,-16.3086,1.6167,4.3056,
CHLRE,14.97994328,46.75722071,-0.08746594,0.8771,0.9131,0.7468,0.6032,0.2617,0.1174,0.2243,0.1519,0.1244,2,0.0,,,,0.619,0.0163,1.591,0.0,0.0,-0.0875,3.1094,,,1,0.0,0.0,0.0,0.0,0.8135,0.6196,0.125,0.6559,0.6621,0.5051,0.7484,0.5746,0.8135,0.751,LTR_Retrotransposon,367,-2.706712246,14,-1.68798,0.801324503,,367.0,57.48288828,0.543,0.279,0.0,111.22,87.8,2.1,0.685,,4.9786,8.4698,19.2063,11.1876,,-1.0848,5.1804,
CRISPRRT2-RT,5.294905663,29.59874608,-0.215987461,0.2064,0.1278,0.06472,0.04293,0.01897,0.0133,0.004877,0.002055,0.0005113,0,1.0,14.9349,3.8714,9.4629,0.552,0.0219,1.542,0.478,0.478,-0.216,3.2503,0.6842,1.2947,1,1.0,1.0,1.0,1.0,0.9155,0.7941,0.248,0.6902,0.6958,0.5897,0.852,0.5512,0.9155,0.7676,CRISPR-associated,319,-1.666745186,4,0.53376,0.701612903,2.782,319.0,57.38965517,0.538,0.286,0.1039,111.41,91.0,0.3,0.664,YADD,1.617,4.113,14.7995,19.3829,-8.8022,-5.701,13.9471,
CaMV-RT,8.462363243,38.80029326,-0.467008798,0.4656,0.4951,0.3548,0.5784,0.5919,0.7861,0.7854,0.7201,0.3788,1,1.0,17.6487,3.844,10.887,0.459,0.044,1.268,0.696,0.522,-0.467,3.1715,0.7368,1.8,1,1.0,1.0,1.0,1.0,0.9014,0.7026,0.229,0.9014,0.8859,0.8711,0.7359,0.5774,0.6609,0.5473,Other,682,-2.135628462,21,0.498119,0.915662651,2.5045,682.0,61.5663783,0.538,0.305,0.1031,145.57,86.4,2.1,0.818,YVDD,5.915,8.4624,15.7044,5.5313,-4.3699,2.8893,12.9915,1.7487
DRG2-RT,3.685216188,51.28333333,-0.26577381,0.6287,0.5901,0.5363,0.4565,0.1982,0.1176,0.08559,0.0009921,0.000181,2,1.0,14.91,3.8574,9.586,0.574,0.0327,1.732,0.5,0.654,-0.2658,3.2479,0.5909,0.6955,1,1.0,1.0,1.0,1.0,0.9017,0.7327,0.18,0.6442,0.651,0.6326,0.7757,0.4873,0.9017,0.7475,Other,336,-1.304329276,23,0.981695,0.925619835,2.8951,336.0,54.57166667,0.524,0.2657,0.0969,122.44,97.3,0.3,0.737,YMDD,10.069,10.9752,21.1382,8.8851,6.2297,8.885,13.2124,
Drg-RT,3.099359989,31.13030581,-0.393577982,0.5744,0.4464,0.2869,0.2994,0.1324,0.1134,0.04143,0.00544,0.006399,0,1.0,5.5865,3.8276,0.1901,0.532,0.0336,1.771,0.391,0.565,-0.3936,3.1332,0.5789,0.7053,1,1.0,1.0,1.0,1.0,0.9064,0.7469,0.163,0.6285,0.6344,0.5911,0.7793,0.4928,0.9064,0.7458,Other,327,-1.131195664,13,0.991933,0.909090909,2.8115,327.0,54.72730887,0.521,0.268,0.1017,116.83,94.2,0.3,0.77,YMDD,7.9079,5.2588,16.0326,17.8456,9.7755,8.7946,12.8641,
Ec48-RT,9.456342697,41.39164619,-0.384520885,0.06968,0.04422,0.0734,0.03698,0.04064,0.03794,0.01277,0.01038,0.00441,0,0.0,,,,0.482,0.0344,1.57,0.0,0.0,-0.3845,3.2278,,,1,0.0,0.0,0.0,0.0,0.874,0.6618,0.159,0.6816,0.6685,0.7069,0.874,0.5034,0.782,0.606,Retron,407,-2.246685743,27,0.798993,0.952702703,,407.0,57.42928747,0.543,0.2861,0.0,147.19,90.5,0.5,0.74,,12.7721,7.7252,12.7318,12.7628,,9.0308,21.2116,
Ec67-RT,9.759358406,27.12424915,-0.439078498,0.1441,0.1337,0.1362,0.09058,0.05974,0.02751,0.01825,0.01718,0.009707,0,1.0,8.4578,3.8425,4.8225,0.502,0.0273,1.493,0.158,0.579,-0.4391,3.1564,0.4667,0.72,1,1.0,1.0,1.0,1.0,0.848,0.6292,0.204,0.6666,0.6729,0.5959,0.848,0.5518,0.7615,0.5901,Retron,586,-2.278226614,31,0.289514,0.815789474,3.0343,586.0,54.06783276,0.534,0.2692,0.103,119.26,91.9,0.8,0.713,YADD,12.2888,11.6991,17.9581,14.1479,6.4678,13.8731,16.1444,
Er-RT,1.173209071,28.21833333,-0.44600939,0.2112,0.1483,0.1127,0.1426,0.136,0.04771,0.01169,0.002161,0.0001397,0,1.0,7.3391,3.7817,1.0002,0.568,0.0329,1.84,0.333,0.619,-0.446,3.1923,0.7059,1.6353,1,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271,Group_II_Intron,426,-0.159742847,23,0.887788,0.887417219,2.73,426.0,52.39276995,0.504,0.2587,0.0933,104.7,95.3,0.5,0.699,YADD,11.5232,8.4725,13.6874,17.8292,4.4507,4.8561,20.2394,
FENV1-RT,3.67293644,41.31409295,-0.371364318,0.5517,0.6564,0.5848,0.8133,0.5344,0.8242,0.7641,0.1733,0.08203,2,1.0,6.1297,3.845,0.1886,0.523,0.021,1.315,0.792,0.583,-0.3714,2.988,0.6,1.095,1,1.0,1.0,1.0,1.0,0.9794,0.8878,0.739,0.9754,0.9794,0.9578,0.7342,0.5828,0.66,0.544,Retroviral,667,-1.300991535,5,0.837728,0.93902439,3.0534,667.0,52.55433283,0.554,0.2667,0.1142,121.34,90.8,0.3,0.77,YVDD,3.2237,6.1602,11.0316,2.5121,-14.8168,-2.1586,8.5092,5.6693
